date,close__晶澳科技,close__国轩高科,close__智飞生物,close__三花智控,close__圣邦股份,close__大秦铁路,close__华能水电,close__上港集团,close__皖通高速,close__建发股份,peTTM__晶澳科技,peTTM__国轩高科,peTTM__智飞生物,peTTM__三花智控,peTTM__圣邦股份,peTTM__大秦铁路,peTTM__华能水电,peTTM__上港集团,peTTM__皖通高速,peTTM__建发股份
2023-12-27,18.13642743,19.9639275,57.0225931,27.6601516,63.10785601,6.52067383,8.64992214,4.71889743,10.2073491,7.62832306,6.917664,79.189091,16.784352,34.136887,145.562525,9.719713,22.6597,9.056951,11.295977,1.884386
2023-12-28,19.95103539,21.203615,57.55254285,27.44588282,66.52673998,6.46685809,8.34168438,4.63513002,9.98565102,7.78202204,7.609798,84.106447,16.94034,33.872446,153.448411,9.639496,21.852228,8.896177,11.050635,1.922353
2023-12-29,19.99929624,21.322625,58.88223495,28.6341006,68.07938751,6.46685809,8.31278709,4.5606701,10.17963684,7.79011146,7.628206,84.578513,17.331729,35.33889,157.029697,9.639496,21.776527,8.753266,11.26531,1.924352
2024-01-02,19.30434,20.82675,57.57181375,27.62119364,65.94545322,6.52964312,8.51506812,4.63513002,10.3920975,7.73348552,7.363133,82.611571,16.946013,34.088807,152.107634,9.733083,22.306431,8.896177,11.500429,1.910364
2024-01-03,19.14025311,20.82675,56.7528005,25.92652238,62.717782,6.56552028,8.58249513,4.71889743,10.72464462,7.90336334,7.300571,82.634004,16.70494,31.997321,145.346511,10.0259,21.196086,9.056951,11.868443,1.952328
2024-01-04,18.69625329,20.46972,55.8470682,26.34532045,59.71191757,6.61933602,8.5728627,4.72820492,10.86320592,7.8871845,7.131195,81.195372,16.438341,32.514183,137.729564,10.10808,22.457832,9.074815,12.021782,1.948331
2024-01-05,18.19434045,20.3804625,54.4017507,26.296623,59.93372436,6.61036673,8.51506812,4.7468199,10.72464462,8.00043638,6.939753,80.841323,16.012918,32.454082,138.241176,10.094383,22.306431,9.110543,11.868443,1.976307
2024-01-08,18.45494904,20.013515,53.8236237,25.39085043,57.29498841,6.62830531,8.42837625,4.73751241,10.67845752,7.95189986,7.039155,79.385785,15.842749,31.33622,132.154754,10.121777,22.079329,9.092679,11.81733,1.964317
2024-01-09,18.86999235,20.0829375,53.40929935,25.59537972,56.9049144,6.64624389,8.30315466,4.80266484,10.83549366,7.9680787,7.197463,79.661157,15.720795,31.58864,131.255022,10.14917,21.751294,9.217725,11.991114,1.968314
2024-01-10,19.10164443,19.9639275,50.4126744,25.24475808,56.12476638,6.61036673,8.26462494,4.8398948,10.78930656,8.02470464,7.28582,79.189091,14.838751,31.155919,129.455558,10.094383,21.65036,9.289181,11.940001,1.982302
2024-01-11,19.04373141,20.8565025,49.82491195,25.13762369,56.2930336,6.5475817,8.13940335,4.85850978,10.53989622,7.95998928,7.263731,82.729587,14.665746,31.023699,129.843677,9.998507,21.322324,9.324908,11.663991,1.966316
2024-01-12,18.98581839,20.7969975,49.0251696,24.86491797,54.66390097,6.60139744,8.25499251,4.92366221,10.65998268,8.02470464,7.241642,82.493554,14.430345,30.687138,126.085973,10.080687,21.625126,9.449955,11.796885,1.982302
2024-01-15,18.38738385,20.7374925,47.55094575,24.90387593,54.70214352,6.61933602,8.35131681,4.97019966,10.82625624,8.24311898,7.013384,82.257521,13.996414,30.735218,126.174182,10.10808,21.877461,9.539274,11.980892,2.036256
2024-01-16,19.52633991,20.925925,47.33896585,24.80648103,54.37325759,6.62830531,8.39947896,4.98881464,10.8539685,8.15413536,7.447809,83.004959,13.934018,30.615018,125.415585,10.121777,22.003629,9.575002,12.01156,2.014275
2024-01-17,18.68660112,20.3011225,46.7126616,23.5695658,52.82825857,6.61036673,8.31278709,4.94227719,10.69693236,7.9680787,7.127513,80.526612,13.749668,29.088474,121.85194,10.094383,21.776527,9.485683,11.837775,1.968314
2024-01-18,20.5591221,20.410215,47.84000925,23.83253203,53.73843126,6.58345886,8.25499251,4.91435472,10.73388204,7.83864798,7.841737,80.959339,14.081498,29.413015,123.951315,10.053294,21.625126,9.432091,11.878666,1.936341
2024-01-19,20.12477445,20.35071,47.6762066,23.48191039,53.63135212,6.55655099,8.19719793,4.92366221,10.77083172,7.83055856,7.676066,80.723306,14.033284,28.980294,123.70433,10.012204,21.473725,9.449955,11.919556,1.934343
