date,code,open,high,low,close,volume,name
2022-10-13,sz.000333,41.4980087800,41.5066560000,40.6505812200,40.6938173200,27745374,美的集团
2022-10-14,sz.000333,40.8581145000,41.7228365000,40.7284062000,41.4980087800,31338771,美的集团
2022-10-17,sz.000333,41.2558866200,41.3769477000,40.9013506000,41.2212977400,23501711,美的集团
2022-10-18,sz.000333,41.4893615600,41.6363643000,40.9272922600,41.0224116800,27008601,美的集团
2022-10-19,sz.000333,40.9532339200,40.9532339200,39.0594927400,39.1027288400,55654921,美的集团
2022-10-20,sz.000333,38.7395456000,39.1546121600,37.9267069200,38.3763623600,36647844,美的集团
2022-10-21,sz.000333,38.3850095800,38.7222511600,37.8488819400,38.0477680000,27243190,美的集团
2022-10-24,sz.000333,37.7883514000,38.3244790400,36.5777406000,36.6555655800,45916936,美的集团
2022-10-25,sz.000333,37.0101016000,37.1398099000,36.3010295600,36.3356184400,41440111,美的集团
2022-10-26,sz.000333,36.4912684000,37.3646376200,36.4566795200,36.7160961200,36281405,美的集团
2022-10-27,sz.000333,36.9236294000,37.1830460000,36.5777406000,36.8198627600,22640281,美的集团
2022-10-28,sz.000333,36.4999156200,36.6469183600,35.1250076400,35.2460687200,40175030,美的集团
2022-10-31,sz.000333,35.2201270600,35.2806576000,34.6753522000,34.7445299600,34553505,美的集团
2022-11-01,sz.000333,35.0904187600,35.9724352000,34.6667049800,35.9724352000,48067142,美的集团
2022-11-02,sz.000333,35.7994908000,36.8371572000,35.6438408400,36.3875017600,38019949,美的集团
2022-11-03,sz.000333,36.1453796000,36.2059101400,35.6265464000,35.9551407600,28853488,美的集团
2022-11-04,sz.000333,35.9983768600,37.4856987000,35.9551407600,37.2608709800,45749125,美的集团
2022-11-07,sz.000333,37.1830460000,37.4078737200,36.7593322200,37.2349293200,33159614,美的集团
2022-11-08,sz.000333,37.2868126400,37.4338153800,36.8198627600,37.1830460000,30558188,美的集团
2022-11-09,sz.000333,37.5202875800,37.9180597000,37.1398099000,37.2176348800,22990425,美的集团
2022-11-10,sz.000333,36.9668655000,37.1657515600,36.7766266600,37.1571043400,22305399,美的集团
2022-11-11,sz.000333,38.5060706600,39.9501564000,37.7969986200,39.4572648600,82883508,美的集团
2022-11-14,sz.000333,41.4374782400,42.4664974200,40.9013506000,41.3337116000,100020407,美的集团
2022-11-15,sz.000333,41.9390170000,42.8729167600,41.2472394000,42.4319085400,51228792,美的集团
2022-11-16,sz.000333,42.7172668000,42.7172668000,41.6450115200,41.9044281200,25992649,美的集团
2022-11-17,sz.000333,41.8438975800,42.4578502000,41.2299449600,41.4720671200,19284595,美的集团
2022-11-18,sz.000333,41.8179559200,41.9736058800,41.2299449600,41.4807143400,16067621,美的集团
2022-11-21,sz.000333,41.0483533400,41.0483533400,39.9847452800,40.0712174800,34523382,美的集团
2022-11-22,sz.000333,40.1231008000,40.6765228800,39.6907398000,40.0366286000,23569157,美的集团
2022-11-23,sz.000333,39.9760980600,40.2441618800,39.7945064400,40.0193341600,14255219,美的集团
2022-11-24,sz.000333,40.4257535000,40.8148784000,39.5869731600,39.6993870200,21379992,美的集团
2022-11-25,sz.000333,39.6993870200,40.7197589800,39.6302092600,40.3738701800,24697464,美的集团
2022-11-28,sz.000333,39.5005009600,40.1663369000,39.1113760600,40.0279813800,22655140,美的集团
2022-11-29,sz.000333,41.5066560000,42.1811391600,40.5727562400,41.8698392400,38928672,美的集团
2022-11-30,sz.000333,41.6623059600,42.3540835600,41.0656477800,41.3942421400,27287554,美的集团
2022-12-01,sz.000333,42.2070808200,42.6567362600,41.7401309400,41.7747198200,27604487,美的集团
2022-12-02,sz.000333,41.5412448800,42.0254892000,41.2991227200,41.5412448800,17015014,美的集团
2022-12-05,sz.000333,41.9303697800,43.2361000000,41.8525448000,42.9766834000,36106842,美的集团
2022-12-06,sz.000333,42.9680361800,43.8068165200,42.3886724400,43.2361000000,32526956,美的集团
2022-12-07,sz.000333,43.2361000000,44.6888329600,42.8037390000,44.3170025000,43656379,美的集团
