Date,AAPL,AMD,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,WMT,XOM
2019-05-01,259309200,136066900,62340000,56161000,,74340000,1981800,6656300,10412900,10551200,15996600,26821700,354280000,20703406,6733800,34797100,71671900,160566000,16011600,13909800
2019-05-02,127985200,100514800,79258000,40634100,,45098000,1514700,8835600,8613300,8724600,13209500,27350200,394684000,20471210,6270300,44110100,65030200,272389500,15021000,15360400
2019-05-03,83569600,55503100,127632000,35256100,,41588000,1897600,5281600,8185400,7076900,14575400,24911100,336824000,18664759,4793400,30386200,56543700,355602000,15950700,12180700
2019-05-06,129772400,70344100,108356000,39882000,,31774000,1927800,5818900,9387000,8657800,13994900,24239800,422176000,25973406,4890400,38371800,107198100,162508500,13841100,13367100
2019-05-07,155054800,75868800,118042000,58528400,,36604000,2839500,6606700,15017700,12487500,16253000,36017700,555220000,27603838,6021700,58818100,144729900,151971000,13726800,13498800
2019-05-08,105358000,65967500,81572000,39903400,,25520000,1817600,4667300,9575800,9281400,12505700,28419000,419168000,23811968,5392600,37165300,91568300,92646000,17646000,11352900
2019-05-09,139634400,73150900,106166000,44173500,,29556000,2333400,5604200,12205900,11450500,12967000,27235800,660248000,19732461,6901700,55351700,103471100,100671000,18720300,13221600
2019-05-10,164834800,82930100,114360000,59649900,,31650000,2089400,4771600,13189000,9653800,12578500,30915100,569500000,17391527,5815800,58526400,112429300,105124500,26228100,11056000
2019-05-13,229722400,99017900,115668000,72547000,,45626000,3605600,5560000,13783700,11911500,16833300,33944900,656912000,28010788,7575500,67185800,127290500,162522000,22084500,12176100
2019-05-14,146118800,82980400,92582000,52216100,,40392000,2463300,7179400,10503600,16844200,17628100,25266300,524880000,26772759,7004000,43360600,77003200,108786000,19061100,10548400
2019-05-15,106178800,55689900,93852000,51973200,,59302000,2271100,6429400,10142000,11422500,16746900,24722700,502320000,33520678,5535600,40944500,73956400,109440000,20220900,8918000
2019-05-16,132125600,67330100,94156000,42791500,,35308000,2008100,6857200,9672700,17771300,12953100,30112200,781088000,25508486,9284200,39281200,76749600,112249500,51366000,8105200
2019-05-17,131516400,65385400,94732000,43772500,,25362000,1928300,6915300,9570100,11257000,10485400,25770500,1022068000,29187684,6370200,44702300,100353000,266800500,37113900,9279400
2019-05-20,154449200,69757400,75964000,41717600,,30602000,2483400,4771100,8518200,13850500,10352000,23706900,572064000,24251591,6565300,38608300,62877600,307893000,21582300,7154300
2019-05-21,113459200,46079200,80102000,39258700,,20562000,2327600,4859000,7967900,10587400,7502800,15293300,361848000,28785056,5226400,31613800,46847100,270058500,20667300,8489900
2019-05-22,118994400,40035300,58732000,29177600,,18826000,2427200,5456800,7918900,16050400,9213800,15396500,325868000,25274604,4889700,24332600,49482500,280278000,22022700,7858300
2019-05-23,146118800,67809200,88486000,59772900,,25214000,3184100,6951800,14558000,12199400,12768800,23603800,591844000,25495944,6175600,45351300,98733800,398206500,19363800,14657200
2019-05-24,94858800,39835800,67394000,35524400,,18554000,1637200,5473300,8537300,6887600,8807700,14123400,357584000,15383341,4372100,25903300,55268100,212049000,13449600,7056400
2019-05-28,111792800,146949600,64000000,44273400,,20948000,3040000,11919600,11665500,18614000,14843300,23128400,428356000,49440610,7615500,24763800,70029400,154693500,30815100,14912900
2019-05-29,113924800,99969600,85580000,49818900,,36230000,2815800,23247400,9966400,12534600,12797700,22763100,559800000,26895761,7137300,42178800,104972900,179529000,19560600,13645200
2019-05-30,84873600,65289100,62938000,58649300,,18088000,1919300,7360600,10367800,9087200,8581500,16829600,394300000,17344308,4729200,30354800,62523800,118897500,15058800,9362100
2019-05-31,108174400,68667800,92376000,68304200,,31582000,2640100,7811000,10952800,11368600,15226500,26646800,389720000,22639288,10282300,45446200,86862800,156100500,17782500,13983300
2019-06-03,161584400,147532200,181974000,50109900,,96890000,2857800,8434600,11680700,14167200,56059600,37983600,478644000,22643082,8532900,75842300,96428000,195966000,19844100,11831000
2019-06-04,123872000,107549500,113582000,58426400,,60512000,2420800,6648900,12858600,12010600,46044300,29382600,641836000,18453537,6906400,47797800,77231900,207112500,17894700,10423000
2019-06-05,119093600,79481500,84796000,44874400,,46988000,1967800,6860600,8340500,15837600,19758300,24926100,511616000,21418861,6481700,34412700,71169700,202662000,20708700,10617800
2019-06-06,90105200,131267800,73786000,38633600,,29020000,1653500,9115800,8726700,15190400,12446400,21459000,408140000,24494222,6681600,29913200,69430400,303633000,24191100,11738900
2019-06-07,122737600,86841100,96164000,51317200,,43828000,1838600,6533900,10618900,15293600,16917300,33885600,348856000,20023470,8063400,45888300,74272200,240052500,20428200,9095500
2019-06-10,104883600,97668800,107420000,48305800,,28510000,2372000,4994700,11380600,9737400,14767900,26477100,402780000,15275727,4767000,41385300,60799100,158775000,18977100,7760400
2019-06-11,107731600,82834900,80854000,38691800,,33508000,1632200,8230500,9847700,9915600,15266600,23913700,383872000,18813162,8074400,41260300,58641300,174802500,20241900,9415100
2019-06-12,73012800,56298700,53566000,33528900,,23670000,2059400,9216500,9670500,11088100,17699800,17092500,358892000,16296843,7687800,27758100,47096300,227962500,13905300,7920800
2019-06-13,86698400,63556000,55916000,33404200,,20814000,1411400,7500800,8406900,10353600,12253600,17200800,308080000,14464042,8611400,23715800,48945200,122524500,16455000,8986400
2019-06-14,75046000,70373000,57024000,37322100,,24582000,1403900,6548100,9077400,8694300,16773700,17821700,394428000,13197872,6438100,22844100,52324700,111501000,13577700,8575900
2019-06-17,58676400,70865700,52686000,33410100,,19770000,1155600,5562800,8128600,12322400,29459900,14517800,276040000,14094931,6020000,20379500,39205700,184752000,12441000,9355700
2019-06-18,106204000,86444500,77914000,60170700,,34526000,2363000,7122700,11057300,9221100,37571400,25934500,581920000,22833434,7731200,48177300,85434800,190737000,14733600,10091500
2019-06-19,84496800,63233900,57906000,61953500,,26714000,2196800,6393400,13126500,9414100,21417100,23744400,331644000,21753611,7028000,31672900,78674400,98626500,11773800,9757400
2019-06-20,86056000,72418200,64344000,60887200,,24018000,2749300,7335800,13638000,10656600,14635700,33042600,350168000,23500300,7044200,40922000,116570000,177952500,15004500,16229700
2019-06-21,191202400,81861300,78672000,69444000,,50774000,3365500,11272200,27089500,21264400,22751200,36727900,434428000,38141203,13799400,39980400,83309500,123031500,39535800,23108100
2019-06-24,72881600,55724800,45660000,40046400,,24236000,2069800,5894700,13039600,10780000,15509000,20628800,282948000,24624075,5518100,19375200,47582700,86262000,18098400,10011800
2019-06-25,84281200,53680900,60246000,46901300,,31644000,1828300,7517000,18660100,11519900,16750300,33327400,311868000,28429015,6805600,33921100,82028700,92731500,18315000,9740000
2019-06-26,104270000,65064200,48838000,42312300,,34698000,1649900,7674100,10324600,12405100,12808600,23657700,584072000,41009348,7170300,22595700,51584900,127608000,12485100,11365500
2019-06-27,83598800,55623300,42834000,35575600,,24078000,2239200,5233500,10906600,12374900,11159000,16557500,445440000,21994977,5613300,19709200,40355200,95095500,16443900,8147800
2019-06-28,124442400,50090900,60748000,101856900,,33672000,4854900,12792400,21634700,16339900,16378900,30043000,397668000,39726209,12152000,21179200,59350900,102771000,19520100,14781300
2019-07-01,109012000,60275900,63842000,48029900,,29196000,2465700,5872300,12724500,14976400,14181800,22613500,709756000,21341392,6775900,31025600,78705600,123201000,16544100,11437900
2019-07-02,67740800,37721700,52918000,32263500,,20630000,1621400,4501200,10174900,8569200,9050000,15237800,400228000,16541898,6578200,18035800,61504500,138885000,12188700,10475400
2019-07-03,45448000,23462000,33806000,26642300,,20154000,978800,3436300,6849400,7253700,10246100,13629300,246636000,10297580,6223300,15792100,40898900,213016500,9621900,5246100
2019-07-05,69062000,34011900,52568000,33092000,,29794000,1511400,4652400,7929400,8916300,11164100,18141100,396552000,18295227,8694800,21415600,51677300,105985500,10738200,6880800
