date,close,preclose,volume,pctChg,tradestatus
2022-10-19,78.3632520000,79.5208909500,8538205,-1.455800,1
2022-10-20,79.3032152500,78.3632520000,18519206,1.199500,1
2022-10-21,77.4925492000,79.3032152500,12404416,-2.283200,1
2022-10-24,75.1574826000,77.4925492000,13840139,-3.013300,1
2022-10-25,73.9998436500,75.1574826000,10137891,-1.540300,1
2022-10-26,75.8500871000,73.9998436500,12836628,2.500300,1
2022-10-27,75.0486447500,75.8500871000,12692676,-1.056600,1
2022-10-28,70.9424895000,75.0486447500,15439726,-5.471300,1
2022-10-31,72.5948459500,70.9424895000,23365705,2.329100,1
2022-11-01,76.0281854000,72.5948459500,16067729,4.729500,1
2022-11-02,77.4529718000,76.0281854000,12306912,1.874000,1
2022-11-03,78.5116672500,77.4529718000,13150877,1.366900,1
2022-11-04,80.7774734000,78.5116672500,15660347,2.885900,1
2022-11-07,81.2227191500,80.7774734000,17243813,0.551200,1
2022-11-08,80.0947632500,81.2227191500,9355552,-1.388700,1
2022-11-09,79.1350113000,80.0947632500,6777805,-1.198300,1
2022-11-10,77.9476893000,79.1350113000,8463746,-1.500400,1
2022-11-11,80.2332841500,77.9476893000,17218286,2.932200,1
2022-11-14,79.8276158000,80.2332841500,12449367,-0.505600,1
2022-11-15,87.8123562500,79.8276158000,22093122,10.002500,1
2022-11-16,87.2384839500,87.8123562500,28671521,-0.653500,1
2022-11-17,88.8512630000,87.2384839500,25246123,1.848700,1
2022-11-18,84.4977490000,88.8512630000,20710581,-4.899800,1
2022-11-21,84.3295450500,84.4977490000,11246684,-0.199100,1
2022-11-22,81.9944784500,84.3295450500,15136009,-2.769000,1
2022-11-23,81.7273310000,81.9944784500,9110239,-0.325800,1
2022-11-24,80.9258886500,81.7273310000,9702216,-0.980600,1
2022-11-25,80.3816994000,80.9258886500,8591059,-0.672500,1
2022-11-28,78.1653650000,80.3816994000,12821556,-2.757300,1
2022-11-29,80.2629672000,78.1653650000,11153334,2.683500,1
2022-11-30,80.4311711500,80.2629672000,8508115,0.209600,1
2022-12-01,81.3216626500,80.4311711500,12124046,1.107100,1
2022-12-02,80.9258886500,81.3216626500,7293975,-0.486700,1
2022-12-05,81.2227191500,80.9258886500,10109779,0.366800,1
2022-12-06,84.9726778000,81.2227191500,20636965,4.616900,1
2022-12-07,83.2609552500,84.9726778000,12283176,-2.014400,1
2022-12-08,82.1527880500,83.2609552500,9127059,-1.331000,1
2022-12-09,83.8051445000,82.1527880500,13080826,2.011300,1
2022-12-12,86.0907393500,83.8051445000,18633517,2.727300,1
2022-12-13,84.6560586000,86.0907393500,9110984,-1.666500,1
2022-12-14,83.6864123000,84.6560586000,15021374,-1.145400,1
2022-12-15,84.7451077500,83.6864123000,12386160,1.265100,1
2022-12-16,82.3506750500,84.7451077500,9702064,-2.825500,1
2022-12-19,80.8170508000,82.3506750500,8152734,-1.862300,1
2022-12-20,81.0644095500,80.8170508000,6789750,0.306100,1
2022-12-21,80.0551858500,81.0644095500,7011540,-1.245000,1
2022-12-22,79.1745887000,80.0551858500,7058845,-1.100000,1
2022-12-23,78.2544141500,79.1745887000,7141913,-1.162200,1
2022-12-26,79.8375101500,78.2544141500,5132961,2.023000,1
2022-12-27,79.6495175000,79.8375101500,5321809,-0.235500,1
2022-12-28,76.7010012000,79.6495175000,11021159,-3.701900,1
2022-12-29,77.0967752000,76.7010012000,8619823,0.516000,1
2022-12-30,76.2755441500,77.0967752000,8178178,-1.065200,1
2023-01-03,76.6713181500,76.2755441500,8637047,0.518900,1
2023-01-04,77.0670921500,76.6713181500,9739101,0.516200,1
2023-01-05,78.6600825000,77.0670921500,10259878,2.067000,1
2023-01-06,80.7082129500,78.6600825000,13758863,2.603800,1
2023-01-09,82.1428937000,80.7082129500,11863704,1.777600,1
2023-01-10,84.5867981500,82.1428937000,16456673,2.975200,1
2023-01-11,82.6178225000,84.5867981500,11228610,-2.327800,1
2023-01-12,82.8651812500,82.6178225000,6223952,0.299400,1
2023-01-13,83.4786309500,82.8651812500,5934545,0.740300,1
2023-01-16,90.2859437500,83.4786309500,48075390,8.154600,1
2023-01-17,92.0174550000,90.2859437500,25846320,1.917800,1
2023-01-18,92.1955533000,92.0174550000,14183072,0.193500,1
2023-01-19,96.4204407500,92.1955533000,22901189,4.582500,1
2023-01-20,95.5596323000,96.4204407500,13909628,-0.892800,1
2023-01-30,95.2825905000,95.5596323000,18022709,-0.289900,1
2023-01-31,93.1651996000,95.2825905000,14630094,-2.222200,1
2023-02-01,93.8182267000,93.1651996000,10280088,0.700900,1
2023-02-02,94.0952685000,93.8182267000,11806223,0.295300,1
2023-02-03,93.0761504500,94.0952685000,11357734,-1.083100,1
2023-02-06,91.3941109500,93.0761504500,9704524,-1.807200,1
2023-02-07,91.6612584000,91.3941109500,7822171,0.292300,1
2023-02-08,90.7311895000,91.6612584000,7569920,-1.014700,1
2023-02-09,93.9963250000,90.7311895000,15134925,3.598700,1
2023-02-10,93.0068900000,93.9963250000,10535284,-1.052600,1
2023-02-13,93.4026640000,93.0068900000,9249381,0.425500,1
2023-02-14,92.8782634500,93.4026640000,8665877,-0.561400,1
2023-02-15,93.4719244500,92.8782634500,7578522,0.639200,1
2023-02-16,90.6223516500,93.4719244500,14714314,-3.048600,1
2023-02-17,86.9515478000,90.6223516500,14649396,-4.050700,1
2023-02-20,88.6434816500,86.9515478000,8355215,1.945800,1
2023-02-21,88.2872850500,88.6434816500,7108289,-0.401800,1
2023-02-22,87.4759483500,88.2872850500,5130962,-0.919000,1
2023-02-23,87.1098574000,87.4759483500,6719250,-0.418500,1
2023-02-24,86.1402111000,87.1098574000,6118038,-1.113100,1
2023-02-27,84.5472207500,86.1402111000,9372775,-1.849300,1
2023-02-28,85.0419382500,84.5472207500,7540999,0.585100,1
2023-03-01,85.6257049000,85.0419382500,10470423,0.686400,1
2023-03-02,85.2002478500,85.6257049000,10152181,-0.496900,1
2023-03-03,85.6850710000,85.2002478500,12559507,0.569000,1
2023-03-06,85.0914100000,85.6850710000,8615072,-0.692800,1
2023-03-07,82.5782451000,85.0914100000,9344270,-2.953500,1
2023-03-08,83.2510609000,82.5782451000,5844734,0.814800,1
2023-03-09,82.4793016000,83.2510609000,8613174,-0.927000,1
2023-03-10,80.9852547500,82.4793016000,8961699,-1.811400,1
2023-03-13,81.9054293000,80.9852547500,6705283,1.136200,1
2023-03-14,83.2906383000,81.9054293000,12404426,1.691200,1
2023-03-15,83.3104270000,83.2906383000,8790629,0.023800,1
2023-03-16,83.1323287000,83.3104270000,13799729,-0.213800,1
2023-03-17,82.6277168500,83.1323287000,13250017,-0.607000,1
2023-03-20,86.0610563000,82.6277168500,18755405,4.155200,1
2023-03-21,85.9324297500,86.0610563000,8661239,-0.149500,1
2023-03-22,86.3875698500,85.9324297500,8450831,0.529600,1
2023-03-23,91.0280200000,86.3875698500,24040539,5.371700,1
2023-03-24,92.8584747500,91.0280200000,20279630,2.010900,1
2023-03-27,88.5643268500,92.8584747500,17318059,-4.624400,1
2023-03-28,86.8229212500,88.5643268500,9681497,-1.966300,1
2023-03-29,89.0095726000,86.8229212500,15513761,2.518500,1
2023-03-30,89.4053466000,89.0095726000,13536517,0.444600,1
2023-03-31,90.1375285000,89.4053466000,9547709,0.818900,1
2023-04-03,92.9079465000,90.1375285000,18752425,3.073500,1
2023-04-04,94.5701973000,92.9079465000,22691960,1.789100,1
2023-04-06,100.0318785000,94.5701973000,37521623,5.775300,1
2023-04-07,102.4263112000,100.0318785000,27556888,2.393700,1
2023-04-10,106.3543681500,102.4263112000,57357015,3.835000,1
2023-04-11,106.8490856500,106.3543681500,27428400,0.465200,1
2023-04-12,107.8484150000,106.8490856500,23048021,0.935300,1
2023-04-13,102.0107485000,107.8484150000,28483398,-5.412800,1
2023-04-14,105.0977857000,102.0107485000,27977174,3.026200,1
2023-04-17,102.4955716500,105.0977857000,20728687,-2.476000,1
2023-04-18,103.0991270000,102.4955716500,17548154,0.588900,1
2023-04-19,103.3168027000,103.0991270000,34728743,0.211100,1
2023-04-20,102.0206428500,103.3168027000,20932697,-1.254500,1
2023-04-21,94.2140007000,102.0206428500,24540790,-7.652000,1
2023-04-24,90.4739364000,94.2140007000,23813414,-3.969800,1
2023-04-25,89.5735505500,90.4739364000,16495908,-0.995200,1
2023-04-26,87.4957370500,89.5735505500,18620565,-2.319700,1
2023-04-27,89.2866144000,87.4957370500,17135043,2.046800,1
2023-04-28,90.2859437500,89.2866144000,12040329,1.119200,1
2023-05-04,91.2160126500,90.2859437500,12969494,1.030100,1
2023-05-05,90.3650985500,91.2160126500,8420483,-0.932900,1
2023-05-08,90.3057324500,90.3650985500,7230179,-0.065700,1
2023-05-09,90.6421403500,90.3057324500,10902324,0.372500,1
2023-05-10,89.9396415000,90.6421403500,8686769,-0.775000,1
2023-05-11,89.3459805000,89.9396415000,6157458,-0.660100,1
2023-05-12,88.5544325000,89.3459805000,6409710,-0.885900,1
2023-05-15,89.5438675000,88.5544325000,5565181,1.117300,1
2023-05-16,91.2951674500,89.5438675000,10919276,1.955800,1
2023-05-17,94.7285069000,91.2951674500,12295827,3.760700,1
2023-05-18,94.3920990000,94.7285069000,8570039,-0.355100,1
2023-05-19,96.6381164500,94.3920990000,12972956,2.379500,1
2023-05-22,96.4995955500,96.6381164500,6854729,-0.143300,1
2023-05-23,94.1843176500,96.4995955500,6536872,-2.399300,1
2023-05-24,94.9560769500,94.1843176500,5780705,0.819400,1
2023-05-25,95.8267797500,94.9560769500,5725505,0.917000,1
2023-05-26,95.0847035000,95.8267797500,6758496,-0.774400,1
2023-05-29,96.4699125000,95.0847035000,9349199,1.456800,1
2023-05-30,96.5094899000,96.4699125000,6972756,0.041000,1
2023-05-31,98.8346621500,96.5094899000,9477748,2.409300,1
2023-06-01,98.4487825000,98.8346621500,7492830,-0.390400,1
2023-06-02,97.6374458000,98.4487825000,6110720,-0.824100,1
2023-06-05,96.8063204000,97.6374458000,5615597,-0.851200,1
2023-06-06,93.9567476000,96.8063204000,8904453,-2.943600,1
2023-06-07,94.3723103000,93.9567476000,4576597,0.442300,1
2023-06-08,92.9574182500,94.3723103000,6371973,-1.499300,1
2023-06-09,94.9956543500,92.9574182500,8389929,2.192700,1
2023-06-12,94.6295634000,94.9956543500,5707294,-0.385400,1
2023-06-13,98.7060356000,94.6295634000,10176638,4.307800,1
2023-06-14,99.4283231500,98.7060356000,6613065,0.731800,1
2023-06-15,98.9039226000,99.4283231500,5527218,-0.527400,1
2023-06-16,99.5668440500,98.9039226000,5372248,0.670300,1
