name,pubDate,roe
兴业银行,2017-08-30,0.085049
光启技术,2017-08-30,0.012581
国轩高科,2017-08-30,0.108177
江苏银行,2017-08-30,0.073348
恒瑞医药,2017-08-30,0.120814
上汽集团,2017-08-30,0.080239
招商轮船,2017-08-30,0.032196
中国中免,2017-08-30,0.102068
分众传媒,2017-08-30,0.339783
宁波港,2017-08-30,0.03951
中国铁建,2017-08-30,0.048955
大秦铁路,2017-08-30,0.083058
上港集团,2017-08-30,0.055396
光大证券,2017-08-30,0.026041
浦发银行,2017-08-30,0.074617
江西铜业,2017-08-30,0.017743
格力电器,2017-08-31,0.177808
东方电气,2017-08-31,0.017669
中国银行,2017-08-31,0.072433
盐湖股份,2017-08-31,-0.021587
新奥股份,2017-08-31,0.021601
潍柴动力,2017-08-31,0.082273
中航机载,2017-08-31,0.02411
恒生电子,2017-08-31,0.091528
建设银行,2017-08-31,0.086328
正泰电器,2017-08-31,0.079293
长安汽车,2017-08-31,0.104214
徐工机械,2017-08-31,0.026604
中联重科,2017-08-31,0.030596
工商银行,2017-08-31,0.076727
华电国际,2017-08-31,-0.00506
中国中铁,2017-08-31,0.053529
中航光电,2017-08-31,0.102608
四川路桥,2017-08-31,0.038234
北京银行,2017-08-31,0.076387
中国银河,2017-08-31,0.03502
三花智控,2017-08-31,0.096496
山东黄金,2017-08-31,0.039258
长江电力,2017-08-31,0.065105
赛轮轮胎,2017-08-31,0.004302
美的集团,2017-08-31,0.169668
中国国航,2017-08-31,0.044355
中远海控,2017-08-31,0.096313
伊利股份,2017-08-31,0.14679
生益科技,2017-08-31,0.1055
中钨高新,2017-08-31,0.019524
国投电力,2017-08-31,0.044
青岛啤酒,2017-08-31,0.068959
上海电气,2017-08-31,0.029669
海南机场,2017-08-31,0.03045
农业银行,2017-08-31,0.08124
中国巨石,2017-10-12,0.136089
万华化学,2017-10-14,0.402792
厦门钨业,2017-10-17,0.087995
小商品城,2017-10-17,0.117274
牧原股份,2017-10-18,0.235583
恒瑞医药,2017-10-19,0.173606
科大讯飞,2017-10-19,0.02201
歌尔股份,2017-10-20,0.110421
三花智控,2017-10-20,0.15113
立讯精密,2017-10-21,0.092554
思源电气,2017-10-21,0.043312
平安银行,2017-10-21,0.091144
通威股份,2017-10-23,0.124485
豪威集团,2017-10-23,0.103182
智飞生物,2017-10-23,0.107398
中科曙光,2017-10-24,0.025989
宇通客车,2017-10-24,0.141667
天孚通信,2017-10-24,0.109522
紫光国微,2017-10-24,0.064848
中国动力,2017-10-24,0.031622
爱尔眼科,2017-10-24,0.205586
光线传媒,2017-10-24,0.087679
赣锋锂业,2017-10-25,0.363473
华能国际,2017-10-25,0.036299
浙商证券,2017-10-25,0.0715
紫光股份,2017-10-25,0.046451
汇川技术,2017-10-25,0.147525
华东医药,2017-10-25,0.193528
昆仑万维,2017-10-25,0.157993
中信银行,2017-10-25,0.089627
川投能源,2017-10-25,0.134174
东山精密,2017-10-25,0.071137
南山铝业,2017-10-26,0.041202
润泽科技,2017-10-26,0.001161
圆通速递,2017-10-26,0.124141
山西汾酒,2017-10-26,0.163429
TCL科技,2017-10-26,0.08049
贵州茅台,2017-10-26,0.254166
天赐材料,2017-10-26,0.13644
亿联网络,2017-10-26,0.269398
紫金矿业,2017-10-26,0.071398
新和成,2017-10-26,0.110165
大秦铁路,2017-10-26,0.120031
亿纬锂能,2017-10-26,0.154429
福耀玻璃,2017-10-26,0.118697
圣邦股份,2017-10-26,0.119972
巨化股份,2017-10-26,0.075704
长安汽车,2017-10-26,0.129251
中国东航,2017-10-27,0.155596
华域汽车,2017-10-27,0.124047
今世缘,2017-10-27,0.158956
宁波银行,2017-10-27,0.141413
卫星化学,2017-10-27,0.134725
赛轮轮胎,2017-10-27,0.039884
片仔癀,2017-10-27,0.179195
包钢股份,2017-10-27,0.02933
沪电股份,2017-10-27,0.047559
天齐锂业,2017-10-27,0.268369
荣盛石化,2017-10-27,0.117316
中信特钢,2017-10-27,0.072956
中国铝业,2017-10-27,0.035661
中航光电,2017-10-27,0.143015
国信证券,2017-10-27,0.067659
中国中免,2017-10-27,0.146521
万科A,2017-10-27,0.09652
保利发展,2017-10-27,0.090164
蓝思科技,2017-10-27,0.062278
赛力斯,2017-10-27,0.123732
中兴通讯,2017-10-27,0.136367
建设银行,2017-10-27,0.123135
顺丰控股,2017-10-27,0.140409
江西铜业,2017-10-27,0.033504
晶盛机电,2017-10-27,0.075337
国轩高科,2017-10-27,0.15181
海天味业,2017-10-27,0.244827
胜宏科技,2017-10-27,0.095414
科伦药业,2017-10-27,0.03325
泸州老窖,2017-10-27,0.155597
中国卫星,2017-10-27,0.051702
