中信证券,招商证券,中国人保,海螺水泥,恒瑞医药,中国中免,伊利股份,通威股份,五粮液,兴业银行
30.03,36.0,76.26,1668.5,89.82,222.94,38.5,75.01,221.0,16.13
30.6,36.18,77.9,1696.0,91.95,204.1,40.3,82.0,227.57,16.17
31.72,37.56,80.86,1750.61,94.2,212.0,41.69,82.73,241.75,16.74
31.35,37.79,81.38,1739.0,93.7,214.1,41.48,82.69,242.27,16.77
30.95,38.05,81.38,1729.0,93.0,209.2,41.8,79.82,239.4,16.75
30.97,39.01,81.4,1725.0,93.16,202.83,41.47,77.9,238.91,17.01
31.08,39.78,82.0,1712.0,93.1,203.43,41.21,76.32,236.88,17.64
30.88,39.99,81.85,1699.0,91.52,200.1,40.18,71.5,236.18,17.67
30.65,39.97,81.23,1734.0,91.01,200.02,41.5,73.09,240.98,17.8
30.43,40.8,82.4,1733.33,89.58,195.6,41.85,72.0,241.77,18.17
30.44,41.19,82.1,1742.5,89.56,195.99,42.14,70.5,241.74,18.22
30.1,41.22,83.5,1715.33,88.15,193.06,40.45,67.95,236.63,18.32
29.02,40.62,82.2,1643.0,89.18,185.68,41.4,70.31,232.61,17.78
28.97,40.45,81.07,1625.0,89.23,184.81,41.22,71.34,233.5,17.8
29.26,40.1,79.58,1664.81,91.36,198.41,42.99,72.16,239.98,17.52
29.62,40.19,78.66,1676.0,91.04,200.43,44.14,74.2,250.0,17.8
28.63,39.81,77.83,1670.02,88.84,199.4,39.73,75.99,244.35,17.8
28.08,40.25,77.23,1674.01,89.23,194.4,37.9,73.73,245.7,17.8
28.73,41.24,79.16,1695.0,90.15,197.76,39.11,70.96,250.4,17.91
28.73,42.93,79.5,1699.58,90.17,202.43,39.46,69.8,253.0,18.35
29.19,42.79,80.94,1721.9,91.2,200.1,39.48,73.99,259.41,18.18
29.24,42.48,81.3,1700.62,88.89,196.32,38.88,71.33,259.3,17.99
30.27,43.03,82.98,1742.57,89.37,199.5,39.51,72.17,270.0,17.99
29.75,43.72,83.2,1745.0,87.95,185.27,38.94,74.79,272.8,18.56
29.26,44.35,83.52,1731.35,86.17,184.6,39.26,73.0,268.9,18.68
29.12,43.58,82.27,1734.79,86.55,196.15,39.01,70.05,267.65,18.49
28.71,42.58,80.34,1705.0,85.5,192.5,38.32,66.56,265.0,17.77
28.97,43.0,83.1,1730.05,85.63,186.45,38.22,66.87,273.0,17.67
29.13,43.84,84.03,1715.8,85.53,181.0,37.97,65.19,269.1,17.91
29.15,44.75,85.37,1693.65,86.61,175.25,38.33,62.74,263.72,19.2
29.33,44.87,85.42,1720.19,87.3,183.31,39.08,64.83,264.7,19.33
29.42,45.05,84.54,1719.96,86.91,185.0,39.23,66.89,268.47,19.02
29.9,45.4,86.22,1790.21,86.12,187.89,39.51,67.7,272.58,19.94
29.53,44.87,85.0,1763.5,87.17,193.39,38.7,66.88,271.79,20.08
29.22,44.43,87.25,1726.88,86.13,189.0,37.79,66.78,262.97,19.76
29.3,45.09,89.15,1734.39,86.0,191.25,38.12,67.47,260.58,20.41
29.98,45.85,90.1,1737.9,86.95,193.2,38.3,69.5,262.3,20.61
30.3,44.2,90.03,1713.91,85.99,193.2,37.79,68.7,254.0,21.02
31.3,46.2,93.38,1737.0,87.61,196.0,38.55,69.92,257.99,21.6
31.08,46.8,92.85,1738.01,87.53,195.52,38.54,69.72,260.55,21.3
30.9,46.49,91.87,1749.0,89.99,194.93,38.94,69.43,261.63,21.24
30.3,45.78,92.19,1793.11,91.32,196.43,39.79,69.24,267.19,21.12
30.01,44.42,90.38,1812.4,89.88,207.75,40.18,71.72,270.24,20.5
30.01,44.26,88.05,1850.0,90.07,208.03,40.68,72.54,272.0,20.26
29.29,44.24,87.87,1840.0,88.24,202.33,40.24,73.37,269.72,20.45
29.16,44.28,87.68,1832.9,89.0,207.8,39.43,74.1,267.67,20.28
28.75,42.68,86.1,1820.0,89.5,206.0,39.04,72.8,267.52,20.12
28.84,44.37,87.69,1829.0,90.11,213.6,40.06,75.77,273.15,20.53
28.81,44.35,86.3,1816.01,97.02,218.38,40.4,76.31,270.8,20.08
28.61,44.06,86.84,1840.0,97.01,220.36,40.49,76.0,274.33,20.42
29.22,44.05,88.98,1865.51,105.18,225.49,41.31,74.81,277.81,20.77
28.81,43.1,87.79,1845.0,105.66,217.25,40.7,77.65,276.86,20.46
29.03,42.89,87.05,1842.5,107.86,229.13,41.5,85.42,281.91,20.14
28.01,41.91,84.15,1881.0,106.2,236.95,40.96,87.9,282.38,19.81
28.2,42.32,84.85,1841.65,106.0,246.88,41.57,92.2,278.29,19.82
28.06,42.57,84.2,1830.34,108.8,252.2,40.51,90.6,275.32,20.17
28.02,42.72,83.2,1830.0,115.01,259.0,40.0,93.45,275.92,20.21
27.98,43.04,84.62,1873.0,111.0,257.6,41.89,92.15,285.95,20.49
28.15,42.83,85.5,1867.0,108.28,255.15,41.87,88.4,281.0,20.63
28.5,43.05,85.88,1933.0,112.7,263.12,43.96,90.74,286.88,20.9
29.4,43.95,86.98,1998.0,111.46,282.45,44.37,92.2,291.85,20.87
29.18,43.17,85.18,1997.0,111.2,292.25,47.36,100.1,298.05,19.65
29.14,42.18,84.27,2059.45,113.23,293.02,50.93,104.87,319.98,18.86
29.62,44.15,85.74,2100.0,113.72,288.0,50.56,107.0,328.3,19.73
29.75,45.9,86.26,2140.0,115.0,311.0,51.69,113.55,330.0,20.1
30.06,46.6,86.1,2090.0,113.22,291.0,49.27,110.4,317.0,20.32
29.28,48.42,84.03,2099.73,111.3,298.4,48.64,106.15,301.2,20.51
32.03,49.7,87.82,2160.9,114.1,319.1,49.67,109.95,310.0,20.85
30.95,49.4,87.54,2164.0,112.57,299.99,48.59,108.18,305.33,21.1
30.2,49.05,85.27,2134.0,110.18,280.55,46.95,100.99,289.4,21.35
30.18,51.14,86.9,2082.0,109.83,280.01,46.65,102.35,287.7,22.71
30.35,51.92,87.2,2063.0,107.83,274.2,47.51,103.17,284.55,24.21
30.45,51.85,86.8,2009.41,104.95,268.15,46.14,102.5,281.5,23.88
31.1,51.72,85.2,2040.63,105.97,272.94,46.16,108.31,284.85,23.22
31.17,52.64,84.44,2070.0,108.15,272.0,46.25,114.02,296.95,23.41
30.33,51.64,83.8,2079.95,112.6,283.0,46.04,119.7,295.56,22.93
29.97,52.11,84.88,2175.0,111.45,308.0,48.83,116.77,315.69,22.91
28.78,51.4,83.0,2141.89,107.0,297.98,46.99,114.08,305.78,22.85
28.71,52.0,83.04,2089.0,106.62,297.0,46.21,123.0,292.58,23.45
28.5,51.61,80.92,2088.0,104.66,287.0,44.04,113.24,286.0,23.2
28.35,51.1,79.08,2116.18,103.76,294.0,44.2,107.55,291.14,23.1
28.3,52.4,79.27,2109.32,102.55,306.0,44.25,106.92,292.29,24.07
28.16,51.97,78.18,2145.0,106.0,331.01,44.98,109.01,304.12,23.59
27.97,53.05,76.54,2189.91,105.0,340.98,43.28,108.82,308.75,24.69
27.09,53.5,79.62,2320.85,102.8,328.94,43.73,110.74,313.6,24.77
27.02,54.74,79.72,2313.0,107.3,346.95,44.15,114.62,319.76,25.76
27.32,55.26,78.57,2368.8,106.28,357.99,45.72,112.2,320.0,26.75
27.99,55.26,78.13,2456.43,109.74,359.73,46.02,117.41,329.5,26.81
27.87,54.55,79.25,2601.0,109.2,387.86,46.49,121.98,342.65,26.64
27.94,55.69,82.38,2471.0,104.9,379.9,45.8,122.3,333.5,27.73
28.62,55.2,84.2,2460.0,105.16,371.9,48.24,117.0,344.4,26.75
27.77,54.2,83.0,2288.02,100.01,339.0,46.58,108.88,313.06,25.81
27.6,55.55,84.32,2307.0,100.7,332.78,45.01,111.27,315.0,26.41
27.42,53.6,83.78,2189.0,99.7,314.63,44.2,104.0,293.08,25.71
27.73,54.45,87.14,2150.0,101.05,319.1,44.1,104.0,288.9,26.21
27.25,51.1,85.18,2122.78,101.8,307.91,43.22,104.46,280.0,24.68
25.62,50.39,84.84,2158.0,100.31,324.56,43.8,109.41,289.02,24.91
25.16,49.55,83.23,2058.0,98.35,316.1,43.0,109.99,280.7,24.87
25.37,52.77,86.75,2140.0,101.35,324.5,43.67,108.0,285.3,25.97
24.81,52.4,86.3,2033.0,100.5,309.63,41.5,98.1,266.31,25.3
25.05,51.4,84.5,2060.11,100.3,305.88,41.46,99.44,266.5,24.8
24.54,49.93,84.95,1960.0,92.12,278.99,39.8,89.5,244.5,23.77
23.75,48.5,84.05,1936.99,91.78,282.29,37.95,84.0,242.5,23.21
23.69,49.25,83.28,1970.01,93.4,299.62,38.42,85.0,252.6,22.89
24.03,51.97,86.36,2048.0,93.48,301.78,39.3,88.99,265.04,23.79
23.78,53.32,85.55,2026.0,92.19,309.41,39.48,91.08,264.45,23.92
23.26,53.11,85.11,1975.45,89.59,297.8,38.28,81.97,251.01,24.09
23.4,54.32,85.4,2010.5,89.19,296.57,39.02,81.6,262.41,24.61
23.64,53.4,82.54,2030.36,88.62,308.07,39.59,82.66,264.31,23.98
23.55,54.24,81.42,2069.7,89.21,312.7,40.15,82.85,270.39,23.86
23.98,51.76,79.64,2010.0,88.05,306.56,38.96,78.96,260.79,23.22
24.15,53.78,79.82,1989.99,88.11,311.65,39.25,80.05,259.5,23.63
24.06,53.48,80.05,1996.0,87.65,300.02,38.96,78.57,262.25,23.36
24.04,52.2,79.01,1989.0,86.52,295.04,39.1,76.79,260.8,22.56
23.9,51.01,79.2,1971.0,87.23,299.0,39.24,77.0,255.98,22.71
23.98,51.6,80.01,2013.0,91.22,313.43,40.38,80.42,265.95,23.23
24.26,50.94,79.13,2034.1,90.53,315.85,40.4,80.2,272.09,23.19
24.26,51.56,79.37,2056.05,93.6,317.88,40.26,87.62,273.46,23.22
23.89,51.1,78.7,2009.0,92.09,306.08,40.03,88.0,267.98,24.09
24.16,51.05,79.2,2044.5,93.85,321.95,40.3,89.62,273.08,24.07
24.13,50.95,78.88,2162.0,92.68,333.5,40.5,88.89,284.56,23.38
24.15,50.99,79.03,2126.03,90.9,317.2,40.78,93.19,284.76,23.7
24.05,50.43,78.45,2061.0,90.68,311.9,39.54,89.12,270.85,23.3
23.99,50.5,78.63,2070.0,92.44,312.28,40.97,87.71,273.08,23.28
23.6,50.25,77.16,2020.0,91.2,301.6,39.8,83.77,265.3,23.24
23.3,50.46,77.16,2008.89,89.53,295.39,39.31,81.49,260.99,22.82
23.37,50.32,76.56,2021.0,88.98,265.85,39.8,81.6,262.9,22.58
23.58,49.7,77.15,2047.0,85.52,288.2,39.68,82.13,263.78,21.69
23.38,49.44,75.81,2015.6,82.18,283.06,38.81,86.78,255.8,20.85
23.67,49.74,75.7,2054.98,80.62,285.85,39.02,85.35,261.8,20.89
24.02,51.77,76.18,2088.0,82.09,294.5,40.1,89.61,265.67,21.03
23.77,51.99,76.0,2094.8,80.31,292.99,40.0,92.4,267.75,21.33
23.6,52.89,75.62,2080.0,83.18,298.66,39.67,92.44,270.85,22.0
23.48,52.61,74.37,2055.5,82.2,296.0,39.98,90.61,271.19,21.61
23.4,53.3,74.26,2108.94,83.0,299.29,40.51,91.99,280.0,21.87
23.05,52.07,72.89,2077.82,81.52,298.44,39.62,91.48,275.0,21.55
22.75,52.07,73.27,2094.44,83.05,306.98,39.73,91.88,281.82,21.74
22.88,51.76,72.81,2042.0,82.86,310.0,39.25,94.53,285.6,21.5
23.79,53.28,73.82,2026.36,82.35,310.32,42.08,94.1,289.5,22.21
23.85,52.7,72.5,2006.78,84.1,311.99,40.95,99.4,285.0,21.74
24.0,53.67,70.53,1959.0,82.12,295.7,39.65,100.0,276.44,22.26
23.44,54.18,70.1,1903.0,79.99,288.0,38.61,96.73,272.1,22.65
23.77,53.9,70.03,1879.03,80.33,298.89,37.53,97.6,264.0,22.0
23.87,53.84,70.28,1959.0,83.71,299.0,38.39,96.2,275.45,22.35
23.94,53.69,69.93,1984.0,83.18,303.0,38.36,96.58,277.51,22.54
23.63,53.2,69.14,1971.5,81.73,295.0,38.77,94.5,276.0,22.58
25.44,54.98,71.18,2009.85,83.83,309.58,39.27,95.8,287.0,22.97
24.89,55.65,70.37,2057.96,85.38,319.39,39.66,99.35,297.19,22.81
24.77,55.95,70.9,2059.31,85.73,318.05,39.18,99.67,299.5,22.57
24.78,54.8,69.97,2049.0,85.05,326.52,38.8,100.66,302.79,21.56
25.06,55.47,70.72,2058.88,83.71,325.01,39.92,98.68,303.51,21.61
24.61,54.11,70.05,2042.1,82.17,318.0,39.0,98.57,296.6,21.41
25.23,54.08,69.94,2071.29,83.36,320.29,39.11,96.26,305.01,21.65
